Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
2023-03-28,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,L,0.0,2.0,hr Croatia,46.0,37750.0,Hakan Çalhanoğlu,4-2-3-1,Andreas Ekberg,Match Report,,tr Türkiye
2023-06-16,21:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,2.0,lv Latvia,69.0,6287.0,Hakan Çalhanoğlu,4-2-3-1,Tamás Bognár,Match Report,,tr Türkiye
2023-06-19,21:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,2.0,0.0,wls Wales,77.0,28766.0,Hakan Çalhanoğlu,4-3-3,Fabio Maresca,Match Report,,tr Türkiye
2023-09-08,21:45,UEFA Euro Qualifying,Group stage,Fri,Home,D,1.0,1.0,am Armenia,66.0,31740.0,Hakan Çalhanoğlu,4-1-4-1,Daniele Orsato,Match Report,,tr Türkiye
2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,1.0,0.0,hr Croatia,37.0,12812.0,Hakan Çalhanoğlu,4-2-3-1,Anthony Taylor,Match Report,,tr Türkiye
2023-10-15,21:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,4.0,0.0,lv Latvia,68.0,35925.0,Hakan Çalhanoğlu,4-1-4-1,Enea Jorgji,Match Report,,tr Türkiye
2023-11-21,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,D,1.0,1.0,wls Wales,61.0,32291.0,Uğurcan Çakır,4-1-4-1,Matej Jug,Match Report,,tr Türkiye
2024-03-22,20:45,Friendlies (M),Friendlies (M),Fri,Away,L,0.0,1.0,hu Hungary,,58000.0,Hakan Çalhanoğlu,4-2-3-1,Bartosz Frankowski,Match Report,,tr Türkiye
2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Away,L,1.0,6.0,at Austria,,38500.0,Hakan Çalhanoğlu,4-2-3-1,Daniele Chiffi,Match Report,,tr Türkiye
2024-06-04,21:00,Friendlies (M),Friendlies (M),Tue,Away,,,,it Italy,,,,,,Head-to-Head,,tr Türkiye
2024-06-10,20:45,Friendlies (M),Friendlies (M),Mon,Away,,,,pl Poland,,,,,,Head-to-Head,,tr Türkiye
2024-06-18,18:00,UEFA Euro,Group stage,Tue,Home,,,,ge Georgia,,,,,,Head-to-Head,,tr Türkiye
2024-06-22,18:00,UEFA Euro,Group stage,Sat,Home,,,,pt Portugal,,,,,,Head-to-Head,,tr Türkiye
2024-06-26,21:00,UEFA Euro,Group stage,Wed,Away,,,,cz Czechia,,,,,,Head-to-Head,,tr Türkiye
2023-03-26,17:00,UEFA Euro Qualifying,Group stage,Sun,Away,L,0.0,2.0,eng England,42.0,83947.0,Oleksandr Zinchenko,4-2-3-1,Serdar Gözübüyük,Match Report,,ua Ukraine
2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,2.0,mk N. Macedonia,52.0,14370.0,Andriy Yarmolenko,4-4-2,Lukas Fähndrich,Match Report,,ua Ukraine
2023-06-19,18:00,UEFA Euro Qualifying,Group stage,Mon,Home,W,1.0,0.0,mt Malta,64.0,7543.0,Andriy Yarmolenko,4-2-3-1,Ruddy Buquet,Match Report,,ua Ukraine
2023-09-09,19:00,UEFA Euro Qualifying,Group stage,Sat,Home,D,1.0,1.0,eng England,32.0,39000.0,Taras Stepanenko,4-2-3-1,Georgi Kabakov,Match Report,,ua Ukraine
2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1.0,2.0,it Italy,36.0,58386.0,Andriy Yarmolenko,4-2-3-1,Alejandro Hernández,Match Report,,ua Ukraine
2023-10-14,16:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,2.0,0.0,mk N. Macedonia,45.0,12939.0,Taras Stepanenko,4-2-3-1,Slavko Vinčič,Match Report,,ua Ukraine
2023-10-17,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3.0,1.0,mt Malta,66.0,3547.0,Oleksandr Zinchenko,4-2-3-1,Morten Krogh,Match Report,,ua Ukraine
2023-11-20,21:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,0.0,0.0,it Italy,42.0,26403.0,Taras Stepanenko,4-1-4-1,Jesús Gil,Match Report,,ua Ukraine
2024-03-21,20:45,UEFA Euro Qualifying,Semi-finals,Thu,Away,W,2.0,1.0,ba Bosnia & Herz'na,66.0,,Oleksandr Zinchenko,4-2-3-1,Felix Zwayer,Match Report,,ua Ukraine
2024-03-26,20:45,UEFA Euro Qualifying,Finals,Tue,Home,W,2.0,1.0,is Iceland,60.0,,Mykola Matviyenko,4-3-3,Clément Turpin,Match Report,,ua Ukraine
2024-06-03,20:45,Friendlies (M),Friendlies (M),Mon,Away,,,,de Germany,,,,,,Head-to-Head,,ua Ukraine
2024-06-07,20:45,Friendlies (M),Friendlies (M),Fri,Away,,,,pl Poland,,,,,,Head-to-Head,,ua Ukraine
2024-06-11,19:00,Friendlies (M),Friendlies (M),Tue,Away,,,,md Moldova,,,,,,Head-to-Head,,ua Ukraine
2024-06-17,15:00,UEFA Euro,Group stage,Mon,Away,,,,ro Romania,,,,,,Head-to-Head,,ua Ukraine
2024-06-21,15:00,UEFA Euro,Group stage,Fri,Away,,,,sk Slovakia,,,,,,Head-to-Head,,ua Ukraine
2024-06-26,18:00,UEFA Euro,Group stage,Wed,Home,,,,be Belgium,,,,,,Head-to-Head,,ua Ukraine
