Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
2024-03-26,20:00,Friendlies (M),Friendlies (M),Tue,Home,W,2.0,1.0,am Armenia,,16158.0,Tomáš Souček,3-4-1-2,Julian Weinberger,Match Report,,cz Czechia
2024-06-07,17:30,Friendlies (M),Friendlies (M),Fri,Neutral,,,,mt Malta,,,,,,Head-to-Head,,cz Czechia
2024-06-10,18:00,Friendlies (M),Friendlies (M),Mon,Home,,,,mk N. Macedonia,,,,,,Head-to-Head,,cz Czechia
2024-06-18,21:00,UEFA Euro,Group stage,Tue,Away,,,,pt Portugal,,,,,,Head-to-Head,,cz Czechia
2024-06-22,15:00,UEFA Euro,Group stage,Sat,Away,,,,ge Georgia,,,,,,Head-to-Head,,cz Czechia
2024-06-26,21:00,UEFA Euro,Group stage,Wed,Home,,,,tr Türkiye,,,,,,Head-to-Head,,cz Czechia
2024-03-23,21:00,Friendlies (M),Friendlies (M),Sat,Away,W,2.0,0.0,fr France,,,İlkay Gündoğan,4-2-3-1,Jesús Gil,Match Report,,de Germany
2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Home,W,2.0,1.0,nl Netherlands,,48390.0,İlkay Gündoğan,4-2-3-1,Espen Eskås,Match Report,,de Germany
2024-06-03,20:45,Friendlies (M),Friendlies (M),Mon,Home,,,,ua Ukraine,,,,,,Head-to-Head,,de Germany
2024-06-07,20:45,Friendlies (M),Friendlies (M),Fri,Home,,,,gr Greece,,,,,,Head-to-Head,,de Germany
2024-06-14,21:00,UEFA Euro,Group stage,Fri,Home,,,,sct Scotland,,,,,,Head-to-Head,,de Germany
2024-06-19,18:00,UEFA Euro,Group stage,Wed,Home,,,,hu Hungary,,,,,,Head-to-Head,,de Germany
2024-06-23,21:00,UEFA Euro,Group stage,Sun,Away,,,,ch Switzerland,,,,,,Head-to-Head,,de Germany
2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3.0,1.0,fi Finland,58.0,35851.0,Simon Kjær,4-3-1-2,Daniel Siebert,Match Report,,dk Denmark
2023-03-26,19:00,UEFA Euro Qualifying,Group stage,Sun,Away,L,2.0,3.0,kz Kazakhstan,61.0,28697.0,Simon Kjær,4-3-3,Novak Simović,Match Report,,dk Denmark
2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,1.0,0.0,nir Northern Ireland,68.0,35701.0,Simon Kjær,4-2-3-1,Daniel Stefański,Match Report,,dk Denmark
2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,1.0,1.0,si Slovenia,63.0,14382.0,Simon Kjær,3-4-3,François Letexier,Match Report,,dk Denmark
2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,4.0,0.0,sm San Marino,85.0,36262.0,Simon Kjær,4-3-3,Vitālijs Spasjoņņikovs,Match Report,,dk Denmark
2023-09-10,19:00,UEFA Euro Qualifying,Group stage,Sun,Away,W,1.0,0.0,fi Finland,64.0,32571.0,Kasper Schmeichel,4-2-3-1,Szymon Marciniak,Match Report,,dk Denmark
2023-10-14,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,3.0,1.0,kz Kazakhstan,64.0,35845.0,Simon Kjær,3-4-1-2,Michael Oliver,Match Report,,dk Denmark
2023-10-17,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,2.0,1.0,sm San Marino,82.0,2984.0,Simon Kjær,4-3-3,Viktor Kopievskii,Match Report,,dk Denmark
2023-11-17,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,2.0,1.0,si Slovenia,66.0,35608.0,Kasper Schmeichel,5-3-2,Sánchez Santos,Match Report,,dk Denmark
2023-11-20,19:45,UEFA Euro Qualifying,Group stage,Mon,Away,L,0.0,2.0,nir Northern Ireland,80.0,17366.0,Kasper Schmeichel,4-3-3,Jérôme Brisard,Match Report,,dk Denmark
2024-03-23,20:00,Friendlies (M),Friendlies (M),Sat,Home,D,0.0,0.0,ch Switzerland,,30731.0,Simon Kjær,3-4-1-2,Allard Lindhout,Match Report,,dk Denmark
2024-03-26,20:15,Friendlies (M),Friendlies (M),Tue,Home,W,2.0,0.0,fo Faroe Islands,,17332.0,Pierre Højbjerg,4-1-4-1,Philip Farrugia,Match Report,,dk Denmark
2024-06-05,19:00,Friendlies (M),Friendlies (M),Wed,Home,,,,se Sweden,,,,,,Head-to-Head,,dk Denmark
2024-06-08,19:30,Friendlies (M),Friendlies (M),Sat,Home,,,,no Norway,,,,,,Head-to-Head,,dk Denmark
2024-06-16,18:00,UEFA Euro,Group stage,Sun,Away,,,,si Slovenia,,,,,,Head-to-Head,,dk Denmark
2024-06-20,18:00,UEFA Euro,Group stage,Thu,Home,,,,eng England,,,,,,Head-to-Head,,dk Denmark
2024-06-25,21:00,UEFA Euro,Group stage,Tue,Home,,,,rs Serbia,,,,,,Head-to-Head,,dk Denmark
2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,2.0,1.0,it Italy,42.0,44536.0,Harry Kane,4-3-3,Srđan Jovanović,Match Report,,eng England
2023-03-26,17:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,2.0,0.0,ua Ukraine,58.0,83947.0,Harry Kane,4-3-3,Serdar Gözübüyük,Match Report,,eng England
2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,4.0,0.0,mt Malta,66.0,16277.0,Harry Kane,4-3-3,Igor Pajač,Match Report,,eng England
2023-06-19,19:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,7.0,0.0,mk N. Macedonia,67.0,70708.0,Harry Kane,4-3-3,István Kovács,Match Report,,eng England
2023-09-09,19:00,UEFA Euro Qualifying,Group stage,Sat,Away,D,1.0,1.0,ua Ukraine,68.0,39000.0,Harry Kane,4-3-3,Georgi Kabakov,Match Report,,eng England
2023-10-17,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3.0,1.0,it Italy,51.0,83194.0,Harry Kane,4-2-3-1,Clément Turpin,Match Report,,eng England
2023-11-17,19:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,2.0,0.0,mt Malta,75.0,81388.0,Harry Kane,4-3-3,Luís Godinho,Match Report,,eng England
2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,1.0,1.0,mk N. Macedonia,75.0,27982.0,Kyle Walker,4-2-3-1,Filip Glova,Match Report,,eng England
2024-03-23,19:00,Friendlies (M),Friendlies (M),Sat,Home,L,0.0,1.0,br Brazil,,83674.0,Kyle Walker,4-2-3-1,Artur Dias,Match Report,,eng England
2024-03-26,19:45,Friendlies (M),Friendlies (M),Tue,Home,D,2.0,2.0,be Belgium,,80733.0,Declan Rice,4-2-3-1,Sebastian Gishamer,Match Report,,eng England
2024-06-03,19:45,Friendlies (M),Friendlies (M),Mon,Home,,,,ba Bosnia & Herz'na,,,,,,Head-to-Head,,eng England
2024-06-07,19:45,Friendlies (M),Friendlies (M),Fri,Home,,,,is Iceland,,,,,,Head-to-Head,,eng England
2024-06-16,21:00,UEFA Euro,Group stage,Sun,Away,,,,rs Serbia,,,,,,Head-to-Head,,eng England
2024-06-20,18:00,UEFA Euro,Group stage,Thu,Away,,,,dk Denmark,,,,,,Head-to-Head,,eng England
2024-06-25,21:00,UEFA Euro,Group stage,Tue,Home,,,,si Slovenia,,,,,,Head-to-Head,,eng England
2023-03-25,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,3.0,0.0,no Norway,63.0,29214.0,Álvaro Morata,4-3-3,Benoît Bastien,Match Report,,es Spain
2023-03-28,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0.0,2.0,sct Scotland,75.0,47976.0,Rodri,4-3-3,Sandro Schärer,Match Report,,es Spain
2023-09-08,20:00,UEFA Euro Qualifying,Group stage,Fri,Away,W,7.0,1.0,ge Georgia,72.0,51694.0,Álvaro Morata,4-3-3,Daniel Siebert,Match Report,,es Spain
2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,6.0,0.0,cy Cyprus,81.0,17311.0,Álvaro Morata,4-3-3,Simone Sozza,Match Report,,es Spain
2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2.0,0.0,sct Scotland,74.0,45623.0,Álvaro Morata,4-3-3,Serdar Gözübüyük,Match Report,,es Spain
2023-10-15,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,1.0,0.0,no Norway,67.0,25885.0,Álvaro Morata,4-3-3,Tobias Stieler,Match Report,,es Spain
2023-11-16,19:00,UEFA Euro Qualifying,Group stage,Thu,Away,W,3.0,1.0,cy Cyprus,77.0,9667.0,Jesús Navas,4-3-3,Mykola Balakin,Match Report,,es Spain
2023-11-19,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,3.0,1.0,ge Georgia,76.0,24146.0,Álvaro Morata,4-3-3,Ovidiu Hațegan,Match Report,,es Spain
2024-03-22,20:30,Friendlies (M),Friendlies (M),Fri,Neutral,L,0.0,1.0,co Colombia,,43267.0,Mikel Oyarzabal,4-2-3-1,Michael Oliver,Match Report,,es Spain
2024-03-26,21:30,Friendlies (M),Friendlies (M),Tue,Home,D,3.0,3.0,br Brazil,,,Álvaro Morata,4-2-3-1,António Nobre,Match Report,,es Spain
2024-06-05,21:30,Friendlies (M),Friendlies (M),Wed,Home,,,,ad Andorra,,,,,,Head-to-Head,,es Spain
2024-06-08,21:30,Friendlies (M),Friendlies (M),Sat,Home,,,,nir Northern Ireland,,,,,,Head-to-Head,,es Spain
2024-06-15,18:00,UEFA Euro,Group stage,Sat,Home,,,,hr Croatia,,,,,,Head-to-Head,,es Spain
2024-06-20,21:00,UEFA Euro,Group stage,Thu,Home,,,,it Italy,,,,,,Head-to-Head,,es Spain
2024-06-24,21:00,UEFA Euro,Group stage,Mon,Away,,,,al Albania,,,,,,Head-to-Head,,es Spain
2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,4.0,0.0,nl Netherlands,41.0,77328.0,Kylian Mbappé,4-2-3-1,Maurizio Mariani,Match Report,,fr France
2023-03-27,19:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,1.0,0.0,ie Rep. of Ireland,65.0,50219.0,Kylian Mbappé,4-3-3,Artur Soares Dias,Match Report,,fr France
2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,0.0,gi Gibraltar,82.0,4065.0,Kylian Mbappé,4-3-3,Yevhen Aranovskyi,Match Report,,fr France
2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,1.0,0.0,gr Greece,62.0,76500.0,Kylian Mbappé,4-2-3-1,Antonio Matéu,Match Report,,fr France
2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2.0,0.0,ie Rep. of Ireland,68.0,43995.0,Kylian Mbappé,4-2-3-1,Urs Schnyder,Match Report,,fr France
2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,2.0,1.0,nl Netherlands,55.0,51310.0,Kylian Mbappé,4-3-3,Felix Zwayer,Match Report,,fr France
2023-11-18,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,14.0,0.0,gi Gibraltar,73.0,32758.0,Kylian Mbappé,4-2-3-1,John Brooks,Match Report,,fr France
2023-11-21,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,D,2.0,2.0,gr Greece,67.0,24820.0,Antoine Griezmann,4-2-3-1,Daniel Siebert,Match Report,,fr France
2024-03-23,21:00,Friendlies (M),Friendlies (M),Sat,Home,L,0.0,2.0,de Germany,,,Kylian Mbappé,4-1-4-1,Jesús Gil,Match Report,,fr France
2024-03-26,21:00,Friendlies (M),Friendlies (M),Tue,Home,W,3.0,2.0,cl Chile,,,Kylian Mbappé,4-1-4-1,Anthony Taylor,Match Report,,fr France
